# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.258 5.0047 0.0109049 -0.0695154 -0.0572863 -0.00333411 0.00207735 0.99835
0.259 5.00477 0.0110681 -0.0690504 -0.0575773 -0.00334981 0.00208671 0.998333
0.26 5.00484 0.0112331 -0.0685771 -0.0578647 -0.0033654 0.00209593 0.998317
0.261 5.0049 0.0113998 -0.0680955 -0.0581482 -0.00338087 0.002105 0.9983
0.262 5.00497 0.0115683 -0.0676058 -0.0584279 -0.00339623 0.00211392 0.998284
0.263 5.00504 0.0117385 -0.0671081 -0.0587038 -0.00341147 0.0021227 0.998267
0.264 5.00511 0.0119104 -0.0666026 -0.0589758 -0.00342659 0.00213133 0.998251
0.265 5.00517 0.0120841 -0.0660894 -0.0592439 -0.00344157 0.00213982 0.998235
0.266 5.00524 0.0122596 -0.0655687 -0.059508 -0.00345643 0.00214815 0.99822
0.267 5.00531 0.0124368 -0.0650405 -0.0597681 -0.00347114 0.00215633 0.998204
0.268 5.00538 0.0126158 -0.0645051 -0.0600241 -0.00348571 0.00216435 0.998188
0.269 5.00546 0.0127965 -0.0639624 -0.0602762 -0.00350014 0.00217223 0.998173
0.27 5.00553 0.0129789 -0.0634128 -0.0605241 -0.00351441 0.00217995 0.998158
0.271 5.0056 0.0131631 -0.0628563 -0.0607679 -0.00352853 0.00218751 0.998143
0.272 5.00567 0.0133493 -0.06229 -0.0610075 -0.00354265 0.00219493 0.998129
0.273 5.00575 0.0135374 -0.0617142 -0.061243 -0.00355675 0.00220219 0.998114
0.274 5.00582 0.0137274 -0.061129 -0.0614742 -0.00357084 0.00220931 0.9981
0.275 5.00589 0.0139194 -0.0605345 -0.0617011 -0.00358491 0.00221627 0.998086
0.276 5.00597 0.0141133 -0.0599309 -0.0619238 -0.00359896 0.00222308 0.998072
0.277 5.00604 0.0143092 -0.0593184 -0.0621421 -0.00361296 0.00222974 0.998058
0.278 5.00612 0.014507 -0.0586972 -0.0623562 -0.00362693 0.00223625 0.998045
0.279 5.0062 0.0147067 -0.0580675 -0.0625659 -0.00364085 0.00224261 0.998032
0.28 5.00627 0.0149083 -0.0574294 -0.0627712 -0.00365472 0.00224881 0.998019
0.281 5.00635 0.0151118 -0.0567831 -0.0629721 -0.00366852 0.00225485 0.998006
0.282 5.00643 0.0153171 -0.0561288 -0.0631686 -0.00368226 0.00226075 0.997994
0.283 5.00651 0.0155243 -0.0554667 -0.0633607 -0.00369594 0.00226649 0.997981
0.284 5.00659 0.0157334 -0.0547968 -0.0635484 -0.00370953 0.00227208 0.997969
0.285 5.00667 0.0159443 -0.0541195 -0.0637317 -0.00372304 0.00227751 0.997958
0.286 5.00675 0.016157 -0.0534349 -0.0639104 -0.00373645 0.00228279 0.997946
0.287 5.00683 0.0163716 -0.0527432 -0.0640848 -0.00374977 0.00228792 0.997935
0.288 5.00691 0.0165879 -0.0520446 -0.0642547 -0.00376299 0.00229289 0.997924
0.289 5.00699 0.0168061 -0.0513393 -0.0644201 -0.0037761 0.00229771 0.997913
0.29 5.00707 0.0170261 -0.0506274 -0.064581 -0.0037891 0.00230238 0.997903
0.291 5.00716 0.0172478 -0.0499092 -0.0647375 -0.00380197 0.0023069 0.997892
0.292 5.00724 0.0174713 -0.0491848 -0.0648895 -0.00381472 0.00231126 0.997882
0.293 5.00732 0.0176965 -0.0484544 -0.065037 -0.00382734 0.00231547 0.997873
0.294 5.00741 0.0179235 -0.0477183 -0.0651801 -0.00383982 0.00231953 0.997863
0.295 5.00749 0.0181521 -0.0469765 -0.0653187 -0.00385216 0.00232344 0.997854
0.296 5.00758 0.0183825 -0.0462292 -0.0654528 -0.00386435 0.0023272 0.997845
0.297 5.00766 0.0186145 -0.0454768 -0.0655825 -0.00387638 0.00233081 0.997837
0.298 5.00775 0.0188482 -0.0447193 -0.0657078 -0.00388826 0.00233427 0.997829
0.299 5.00784 0.0190835 -0.0439569 -0.0658286 -0.00389998 0.00233758 0.997821
0.3 5.00792 0.0193205 -0.0431898 -0.065945 -0.00391152 0.00234074 0.997813
0.301 5.00801 0.0195591 -0.0424182 -0.066057 -0.0039229 0.00234376 0.997805
0.302 5.0081 0.0197993 -0.0416423 -0.0661646 -0.00393409 0.00234663 0.997798
0.303 5.00819 0.0200411 -0.0408622 -0.0662678 -0.0039451 0.00234935 0.997791
0.304 5.00828 0.0202844 -0.0400782 -0.0663667 -0.00395593 0.00235193 0.997785
0.305 5.00837 0.0205293 -0.0392904 -0.0664612 -0.00396656 0.00235436 0.997778
